date,news,link,fonte
2016-08-26,L’Europa ha messo fuorilegge il millefoglio che infesta il Po,https://www.lastampa.it/torino/2016/08/26/news/l-europa-ha-messo-fuorilegge-il-millefoglio-che-infesta-il-po-1.34825717,LaStampa
2016-08-23,LOMBARDIA: i sei ANIMALI che minacciano l'habitat OROBICO,https://www.ilmeteo.it/notizie/lombardia-i-sei-animali-che-minacciano-lhabitat-orobico,IlMeteo.it
2016-08-21,Dalla nutrie ai procioni: ecco i sei animali che minacciano l’habitat orobico ,https://www.ecodibergamo.it/stories/bergamo-citta/dalla-nutrie-ai-procioni-ecco-i-sei-animaliche-minacciano-lhabitat-orobico_1197950_11/,L’Eco di Bergamo
2016-08-26,La silenziosa invasione di animali esotici sulle nostre montagne,http://www.valtellinanews.it/articoli/La-silenziosa-invasione-di-animali-esotici-sulle-nostre-montagne-20160826/,Valtellina News
2016-08-06,Scoiattolo grigio addio: Inghilterra deve eliminarlo perché…,https://www.blitzquotidiano.it/cronaca-europa/scoiattolo-grigio-addio-inghilterra-deve-eliminarlo-perche-2523308/,Blitz Quotidiano
2016-08-12,"Pesci ‘alieni’ invadono il Mediterraneo, è pericolo tropicalizzazione ",https://www.tgtourism.tv/2016/08/pesci-alieni-invadono-il-mediterraneo-e-pericolo-tropicalizzazione-18950/,TGTourism
2016-08-03,Il primo elenco di specie esotiche invasive dell’UE,https://ec.europa.eu/environment/efe/news/first-eu-list-invasive-alien-species-2016-08-04_it,European Commission
2016-07-13,Lotta a specie aliene invasive costa a Ue 12 mld l'anno,https://www.ansa.it/europa/notizie/rubriche/altrenews/2016/07/13/lotta-a-specie-aliene-invasive-costa-a-ue-12-mld-lanno_2b7a32a8-5f66-4220-afdd-2d25c74d84b7.html?fbclid=IwAR3PSt-9lPRdw6J4x5b3pbUSjW4lgVqTC7DiQGGagKd_cLA_Wg8wRwGc2kw,ANSA
2016-09-01,"Specie invasive, in Italia sono oltre 3.000",https://www.facebook.com/LegambLomellina/posts/1071508216220358,Legambiente
2016-09-01,"Specie invasive, in Italia sono oltre 3.000",https://www.repubblica.it/ambiente/2016/02/23/news/specie_invasive_in_italia_sono_oltre_3_000-134075673/,La Repubblica
2016-10-27,Genovesi a “Siamo Noi” di TV2000,https://www.tv2000.it/siamonoi/video/siamo-noi-puntata-del-27-ottobre-2016/?fbclid=IwAR3obJXQjcNRv6xNrcEB356EAtTWTeQK3mDnr3zCRWBIfmgYQPddsN17zNM,TV2000
